Time,Open,Close,High,Low,Amount,Volume
2023-03-11 13:05:00,1429.47,1431.97,1433.18,1428.9,126.5042543,181075.077453794
2023-03-11 13:10:00,1431.97,1431.18,1432.35,1430.18,47.2080679,67548.810997961
2023-03-11 13:15:00,1431.07,1433.57,1433.58,1428.2,86.5294786,123744.580852591
2023-03-11 13:20:00,1433.45,1433.55,1435.8,1433.12,97.8095314,140298.234393558
2023-03-11 13:25:00,1433.65,1432.4,1434.37,1429.91,91.6060003,131143.770499835
2023-03-11 13:30:00,1432.39,1430.56,1432.4,1430,64.2686004,91976.003395525
2023-03-11 13:35:00,1430.55,1433.16,1433.65,1430.14,76.0669571,108975.726756646
2023-03-11 13:40:00,1433.16,1431.1,1434.01,1431.03,36.4349162,52198.352411858
2023-03-11 13:45:00,1431.09,1433.36,1434.1,1430.54,71.0631503,101770.500623545
2023-03-11 13:50:00,1433.36,1431.43,1433.8,1431.07,109.0483451,156211.2356058
2023-03-11 13:55:00,1431.44,1429.64,1432.77,1427.43,94.3425653,134868.901050661
2023-03-11 14:00:00,1429.29,1430.26,1430.94,1428.54,77.7774078,111201.586296065
2023-03-11 14:05:00,1430.26,1429.2,1432.12,1427.19,226.2666375,323559.889414682
2023-03-11 14:10:00,1429.2,1429.36,1431.04,1428.9,85.6884187,122565.745844437
2023-03-11 14:15:00,1429.31,1428.56,1430.95,1428.55,47.0526863,67281.832187591
2023-03-11 14:20:00,1428.56,1429.45,1430.68,1428.28,47.4369619,67826.748950812
2023-03-11 14:25:00,1429.45,1431.99,1432.34,1428.96,45.4447537,65005.695383575
2023-03-11 14:30:00,1431.9,1433.17,1435.34,1431.29,104.5379314,149814.487352266
2023-03-11 14:35:00,1433.16,1434.96,1435.3,1432.01,65.170112,93423.491150989
2023-03-11 14:40:00,1434.86,1435.32,1435.75,1433.12,49.1727696,70527.124148483
2023-03-11 14:45:00,1435.31,1433.63,1435.57,1432.22,81.7064517,117186.872585487
2023-03-11 14:50:00,1434.28,1434.09,1435.31,1432.4,78.8757918,113094.057442826
2023-03-11 14:55:00,1434.1,1432.54,1434.1,1430.37,174.6148372,249970.469623804
2023-03-11 15:00:00,1432.5,1432.52,1435.81,1432.42,92.6312597,132894.85256939
2023-03-11 15:05:00,1432.51,1431.06,1432.86,1430.16,125.7002619,179900.879999688
2023-03-11 15:10:00,1431.05,1430.9,1431.4,1430.14,98.0714405,140310.402639213
